,title,price,link
10,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey","42,972",https://amazon.in/Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_116?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-116
11,"Lenovo IdeaPad Pro 5 Intel Core Ultra 9 185H Built-in AI 14"" (35.5cm) 2.8K OLED 400Nits 120Hz Laptop (32GB RAM/1TB SSD/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.46Kg), 83D2004XIN","1,10,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODI2MzQyMzQxMjE0ODIzOjE3NTEzNTEyOTM6c3BfYnRmOjMwMDU0OTcxNjk1NTYzMjo6MDo6&url=%2FLenovo-IdeaPad-400Nits-Windows-83D2004XIN%2Fdp%2FB0F1N18XWV%2Fref%3Dsr_1_117_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351293%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB
12,Lapcare HP Pavilion 15 Notebook PC 15-n100~299 HP Pavilion 15 TouchSmart Notebook PC 15-n200~299 HP Pavilion 14 Notebook PC 14-n100~299 HP Pavilion 14 TouchSmart Notebook PC 14-n200~299,"1,499",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODI2MzQyMzQxMjE0ODIzOjE3NTEzNTEyOTM6c3BfYnRmOjIwMTU5Njc3OTQwNzk4OjowOjo&url=%2FLapcare-15-n100-299-15-n200-299-14-n100-299-14-n200-299%2Fdp%2FB0C246K4DT%2Fref%3Dsr_1_118_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351293%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB
13,"HP OmniBook X Laptop, SnapdragonÂ® X Elite X1E-78-100,14inch(35.6 cm),2.2K Touch Display,IPS,16GB LPDDR5x,1TB SSD,Next Gen Windows, Copilot +,Blue,1.34 kg,14-fe0121QU","1,25,495",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMDc0MzExMzc4ODE4OjE3NTEzNTEyNTc6c3BfbXRmOjMwMDU3ODM0NjgwMDkzMjo6MDo6&url=%2FHP-OmniBook-Snapdragon%25C2%25AE-X1E-78-100-14-fe0121QU%2Fdp%2FB0D84427H6%2Fref%3Dsr_1_28_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9._s4_oEL-TrwUXW_PdXesXTe_BBbew7jC8C9tAl_9FYwcwJfWZI2O_mHkZrYrIy9iz5sCbF2eeO3cJ471xmElP7T9P_s6Nkb2PM6qn-qSkrTNN42hJmoKUk_sURxsWnmjmyVlfZ8O6gJBzEbKRA5rdJ40SAw-JqksHBoIp2ZnzKPc0l_W0Wrb8zGExfG14k_Qz64xRxDY_ebjVn84jSaBzhzTACWCGtgMDyGHzX8zq5k.KyE35HuNDyvdzG7goZPUpAUSumPiA7yZAjzfdKQTvz4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351257%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB
14,"MSI Stealth 14 AI Studio, Intel 1st Gen. Ultra 7 155H,Built-in AI, 36CM FHD+ 165Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4060, GDDR6 6GB/Star Blue/1.7Kg), A1VFG-053IN","1,40,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzY5MDg0OTg2NzA4Nzc1OjE3NTEzNTEzMDA6c3BfYXRmX25leHQ6MzAwNTQ4NjY0NjY3MzMyOjowOjo&url=%2FMSI-Stealth-Windows-GeForce-A1VFG-053IN%2Fdp%2FB0D22LBNQV%2Fref%3Dsr_1_113_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9.rQxmFxMcSFPWnejFc8SWejJ42vZGG2FwrplDRbnnn7FRSCv3XuJ6zTlzIDIqgXk09upG9Ot8TUr-0HaSe_Knh5CI2dMMEqlusu01bCXz4DTwBE_pUDKnYYlbTciSVfIKY6J23A6EuDthanI3YcHMPONjLhDgkGumMrbG8LwbV4nDkyPDkehy8BlZUggFV7oSLgPfxrrwRTRNEFuw0qMlVm-3xRTDyLp43UkPjZxjeqo.JtE6fkK7lIAAnw3toUqzh4BN7SyG_lGe0M28W1778dI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351300%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
15,"Cyborg 15 AI, Intel Core Ultra 7 155H,Built-in AI, 40CM Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4060, GDDR6 8GB/Translucent Black/1.9Kg), A1VFK-049IN","1,01,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzY5MDg0OTg2NzA4Nzc1OjE3NTEzNTEzMDA6c3BfYXRmX25leHQ6MzAwNDEyMjAzOTMwMDMyOjowOjo&url=%2FMSI-Cyborg-15-Translucent-A1VFK-049IN%2Fdp%2FB0CV43NHQJ%2Fref%3Dsr_1_114_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9.rQxmFxMcSFPWnejFc8SWejJ42vZGG2FwrplDRbnnn7FRSCv3XuJ6zTlzIDIqgXk09upG9Ot8TUr-0HaSe_Knh5CI2dMMEqlusu01bCXz4DTwBE_pUDKnYYlbTciSVfIKY6J23A6EuDthanI3YcHMPONjLhDgkGumMrbG8LwbV4nDkyPDkehy8BlZUggFV7oSLgPfxrrwRTRNEFuw0qMlVm-3xRTDyLp43UkPjZxjeqo.JtE6fkK7lIAAnw3toUqzh4BN7SyG_lGe0M28W1778dI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351300%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
16,"Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter, 3 yrs Warranty (ISI Certified, 1 meter /3.3 Feet)",299,https://amazon.in/Gizga-Essentials-Laptop-Adapter-Certified/dp/B01IOZUHRS/ref=sr_1_115?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.rQxmFxMcSFPWnejFc8SWejJ42vZGG2FwrplDRbnnn7FRSCv3XuJ6zTlzIDIqgXk09upG9Ot8TUr-0HaSe_Knh5CI2dMMEqlusu01bCXz4DTwBE_pUDKnYYlbTciSVfIKY6J23A6EuDthanI3YcHMPONjLhDgkGumMrbG8LwbV4nDkyPDkehy8BlZUggFV7oSLgPfxrrwRTRNEFuw0qMlVm-3xRTDyLp43UkPjZxjeqo.JtE6fkK7lIAAnw3toUqzh4BN7SyG_lGe0M28W1778dI&dib_tag=se&keywords=laptop&qid=1751351300&sprefix=lapto%2Caps%2C654&sr=8-115
17,"ASUS ROG Strix SCAR 18,Intel Core Ultra 9 275HX Gaming Laptop(NVIDIA RTX 5090-24GB/175W TGP/64GB/2TB/2.5K QHD+/18""/240Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Off Black/3.30 Kg)G835LX-SA187WS","4,49,990",https://amazon.inhttps://www.amazon.in/b?node=13837079031
18,"HP 255 G9 Ryzen 3 Dual Core AMD Ryzen 3 Processor 3250U - (8 GB/512 GB SSD/AMD Radeon Graphics) 9H237PT Thin and Light Laptop (15.6 inch, Black, 1.47 kg)","23,990",https://amazon.in/HP-255-G9-Ryzen-Processor/dp/B0DMSNR4GG/ref=sr_1_117?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.rQxmFxMcSFPWnejFc8SWejJ42vZGG2FwrplDRbnnn7FRSCv3XuJ6zTlzIDIqgXk09upG9Ot8TUr-0HaSe_Knh5CI2dMMEqlusu01bCXz4DTwBE_pUDKnYYlbTciSVfIKY6J23A6EuDthanI3YcHMPONjLhDgkGumMrbG8LwbV4nDkyPDkehy8BlZUggFV7oSLgPfxrrwRTRNEFuw0qMlVm-3xRTDyLp43UkPjZxjeqo.JtE6fkK7lIAAnw3toUqzh4BN7SyG_lGe0M28W1778dI&dib_tag=se&keywords=laptop&qid=1751351300&sprefix=lapto%2Caps%2C654&sr=8-117
19,"HP 15s Core i5 12th Gen (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office/Backlit Keyboard/Silver/1.69 kg) fq5329TU Laptop","48,690",https://amazon.in/HP-Windows-Backlit-Keyboard-fq5329TU/dp/B0CJM5Z6FY/ref=sr_1_118?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.rQxmFxMcSFPWnejFc8SWejJ42vZGG2FwrplDRbnnn7FRSCv3XuJ6zTlzIDIqgXk09upG9Ot8TUr-0HaSe_Knh5CI2dMMEqlusu01bCXz4DTwBE_pUDKnYYlbTciSVfIKY6J23A6EuDthanI3YcHMPONjLhDgkGumMrbG8LwbV4nDkyPDkehy8BlZUggFV7oSLgPfxrrwRTRNEFuw0qMlVm-3xRTDyLp43UkPjZxjeqo.JtE6fkK7lIAAnw3toUqzh4BN7SyG_lGe0M28W1778dI&dib_tag=se&keywords=laptop&qid=1751351300&sprefix=lapto%2Caps%2C654&sr=8-118
